samlpe:1
direct band gap: wevelength=251.729549238nm energy=4.92592150487eV
	linear fit coefficient: slope=3302.67616762 intercept=-16268.7235577 r=0.990583817164
indirect band gap: wevelength=268.535431803nm energy=4.61764018131eV
	linear fit coefficient: slope=9.88591908185 intercept=-45.6496171816 r=0.994073460789
datas:
wavelength	R	hv	F(R)	(hvF(R))^2	(hvF(R))^1/2
356.5	0.92177	3.47826086957	0.00331966374475	0.000133325276409	0.107455369822
357.0	0.92438	3.47338935574	0.00309309180207	0.000115423053138	0.103650914813
357.5	0.91359	3.46853146853	0.00408645459123	0.000200902172371	0.119054593966
358.0	0.91312	3.46368715084	0.00413315577361	0.000204946669076	0.119649314856
358.5	0.89922	3.45885634589	0.00564745468295	0.000381566782275	0.139763137015
359.0	0.89749	3.45403899721	0.00585427141249	0.000408884059113	0.142200146832
359.5	0.90408	3.44923504868	0.00508840279621	0.000308041015258	0.132480554296
360.0	0.90329	3.44444444444	0.00517708825516	0.000317987102869	0.133537234054
360.5	0.90544	3.43966712899	0.00493770630854	0.00028845850068	0.130322929993
361.0	0.90163	3.43490304709	0.00536620171245	0.000339752728807	0.135765911087
361.5	0.89471	3.43015214385	0.0061952946206	0.000451596633441	0.14577655204
362.0	0.8967	3.42541436464	0.00595008921601	0.000415406401185	0.142763864726
362.5	0.89433	3.42068965517	0.00624274535127	0.000456014432914	0.14613177082
363.0	0.89369	3.41597796143	0.00632311881077	0.000466544210755	0.146968141123
363.5	0.88965	3.41127922971	0.00684377142697	0.000545036431401	0.152794029077
364.0	0.88022	3.40659340659	0.00814980822976	0.000770788776582	0.166622576443
364.5	0.88425	3.40192043896	0.00757594713034	0.000664235641883	0.160538996469
365.0	0.88805	3.39726027397	0.0070563608468	0.000574670898016	0.154829888535
365.5	0.8954	3.3926128591	0.00610964931874	0.000429636504411	0.143971090304
366.0	0.90332	3.38797814208	0.00517370499934	0.000307244787324	0.132394861877
366.5	0.90327	3.38335607094	0.00517934443743	0.000307075380983	0.132376608379
367.0	0.90468	3.37874659401	0.00502161117743	0.000287870661966	0.130256484146
367.5	0.9064	3.37414965986	0.00483283318623	0.000265908544842	0.127697699476
368.0	0.90768	3.36956521739	0.00469492684647	0.000250268040028	0.125777033675
368.5	0.90753	3.36499321574	0.00471097423777	0.000251298470025	0.125906299881
369.0	0.90552	3.36043360434	0.00492891951586	0.000274343131295	0.128698511158
369.5	0.90242	3.35588633288	0.00527573435872	0.000313458697698	0.133059253081
370.0	0.90186	3.35135135135	0.00533977535316	0.000320247608358	0.133773926255
370.5	0.90186	3.34682860999	0.00533977535316	0.000319383825587	0.133683629973
371.0	0.90224	3.3423180593	0.00529627238872	0.000313354673891	0.133048212509
371.5	0.90411	3.33781965007	0.00508505165301	0.000288082230979	0.130280410381
